subject,parcel,retrieval,hmm (-2TR),hmm (-1 TR),reinstatement (z) (-7 to -3 TR)
3037,22,0,0,0,0.037605357
3037,22,0,1,0,-0.047166525
3037,22,0,0,1,-0.098212049
3037,22,0,1,0,-0.014324542
3037,22,0,0,0,0.023987602
3037,22,0,0,0,-0.011814367
3037,22,0,1,0,0.028440078
3037,22,0,0,0,-0.04549739
3037,22,0,0,0,0.016601858
3037,22,0,0,0,0.037917138
3037,22,0,0,1,-0.080627873
3037,22,0,0,0,-0.090831971
3037,22,0,0,0,0.039222467
3037,22,0,1,0,-0.010701332
3037,22,1,0,0,-0.063945992
3037,22,0,0,0,0.043378425
3041,22,1,0,0,-0.135749754
3041,22,1,0,0,-0.021317693
3041,22,1,0,0,0.119366007
3041,22,1,0,0,0.019192103
3041,22,0,1,0,-0.096492634
3041,22,0,1,0,0.035360815
3041,22,0,0,1,-0.000799253
3041,22,0,0,0,-0.071019879
3041,22,1,0,0,0.016940412
3041,22,1,0,0,-0.087704317
3041,22,1,1,0,-0.060956748
3041,22,1,0,0,-0.045882581
3041,22,0,0,1,0.052665736
3041,22,1,0,0,0.032004862
3041,22,1,0,0,0.002107172
3041,22,0,0,0,0.011854149
3041,22,0,0,0,0.035927234
3041,22,0,1,0,0.199302535
3041,22,0,0,0,-0.066007704
3041,22,0,0,0,-0.038226535
3041,22,1,0,0,-0.040237556
3041,22,1,1,0,0.065341792
3041,22,1,0,0,-0.012492137
3041,22,1,0,0,0.094589719
3041,22,1,0,0,0.06364758
3041,22,0,1,0,-0.098894034
3041,22,0,0,0,-0.057230225
3041,22,0,0,1,-0.030234098
3041,22,1,0,0,0.028646318
3041,22,0,1,0,0.134560227
3041,22,1,0,0,-0.029293475
3041,22,1,0,0,0.015579358
3041,22,1,0,0,0.207912802
3041,22,1,0,0,-0.067973541
3041,22,1,0,0,0.000951585
3041,22,1,1,0,-0.0431828
3041,22,0,0,0,0.054924951
3041,22,0,1,0,0.063306655
3041,22,1,1,0,0.110607307
1001,32,1,0,0,0.154872513
1001,32,0,0,0,0.037584359
1001,32,1,0,0,-0.054618316
1001,32,1,0,0,0.025666121
1001,32,1,0,0,-0.018309451
1001,32,1,0,1,-0.107074674
1001,32,1,0,0,-0.014208572
1001,32,1,0,0,0.061161147
1001,32,0,1,0,-0.524378849
1001,32,1,0,0,0.008722103
1001,32,0,0,0,-0.145596958
1001,32,0,0,1,-0.10293255
1001,32,1,0,0,0.223916448
1001,32,1,0,1,-0.031555686
1001,32,0,0,0,0.250236501
1001,32,1,0,0,0.026372203
1001,32,0,0,0,-0.03673371
1001,32,1,0,0,0.179398752
1001,32,1,0,0,0.168601175
1001,32,1,0,0,-0.249711063
1001,32,0,1,0,0.014169326
1001,32,0,0,1,-0.089398888
1001,32,0,0,0,0.205405905
1001,32,0,0,0,-0.159952838
1001,32,0,1,0,-0.189112236
1001,32,0,0,0,0.038791829
1001,32,0,1,0,-0.099261378
1001,32,1,0,0,-0.017263165
1001,32,1,0,0,0.220418762
1001,32,1,0,0,0.160978331
1001,32,1,0,1,0.222776787
1001,32,1,1,0,0.261418805
1001,32,0,0,0,0.059769375
1001,32,1,0,0,0.135361881
1001,32,1,0,0,-0.118778498
1001,32,1,0,1,0.302013431
1001,32,1,0,0,-0.240349653
1001,32,1,0,0,0.215820965
1001,32,1,0,0,-0.027115981
1005,32,1,0,0,0.255237643
1005,32,1,0,0,0.00070939
1005,32,1,0,0,-0.156517743
