subject,run,scene,TR (scene),TR (run),sec (scene)
1026,9,3,17,94,20.48945231
1026,9,3,52,129,63.44792036
1026,10,1,11,11,14.23259918
1026,10,3,7,78,8.897021602
1026,10,5,48,161,57.6526546
1029,1,4,23,151,28.59299427
1029,2,3,7,99,9.156704381
1029,3,2,9,74,11.16032246
1029,3,3,11,92,14.11929767
1029,3,5,34,218,41.97325172
1029,4,2,21,61,25.91485521
1029,4,4,7,111,8.442418471
1029,5,3,5,129,6.317863422
1029,5,4,27,185,32.50623077
1029,6,1,11,11,14.16249615
1029,6,4,45,158,54.16004187
1029,6,5,31,200,38.18777806
1029,7,1,11,11,13.78453204
1029,7,2,26,78,32.01041061
1029,7,3,32,144,39.06070176
1029,8,1,25,25,30.97162129
1029,8,3,41,127,50.32237209
1029,9,1,5,5,6.992944112
1029,9,2,2,49,2.564247272
1029,9,3,2,79,3.394974888
1029,9,4,6,156,7.48457273
1029,9,5,13,189,15.79313578
1029,10,1,13,13,16.65602782
1029,10,3,7,78,8.859537892
1029,10,3,27,98,33.26172178
1029,10,5,25,138,30.25901563
1033,1,4,27,155,32.42780866
1033,2,1,11,11,13.87162382
1033,3,1,5,5,6.990630195
1033,3,2,1,66,1.568057753
1033,3,3,8,89,10.32382444
1033,3,4,7,129,9.363970368
1033,3,4,57,179,68.5922955
1033,4,1,19,19,23.03864748
1033,4,1,26,26,31.93067326
1033,4,5,32,204,39.48079694
1033,5,1,54,54,64.83278032
1033,5,2,47,114,57.04067328
1033,6,1,9,9,11.74560168
1033,6,1,20,20,24.42701685
1033,6,1,26,26,31.38649345
1033,6,1,50,50,60.37167754
1033,6,3,21,86,25.70947591
1033,6,3,30,95,36.21498322
1033,6,5,33,203,40.39843047
1033,7,1,4,4,5.560849914
1033,7,1,16,16,19.5762068
1033,7,1,18,18,22.46051449
1033,7,1,28,28,34.25739516
1033,7,1,37,37,45.2344817
1033,7,2,27,79,33.46905795
1033,7,2,42,94,51.24081891
1033,7,3,4,116,5.692789938
1033,7,3,26,138,31.25720991
1033,8,2,42,79,50.48477057
