subject,parcel,retrieval,reinstatement.m10TR,reinstatement.m9TR,reinstatement.m8TR,reinstatement.m7TR,reinstatement.m6TR,reinstatement.m5TR,reinstatement.m4TR,reinstatement.m3TR,reinstatement.m2TR,reinstatement.m1TR,reinstatement.0TR,reinstatement.1TR,reinstatement.2TR,reinstatement.3TR,shift.m10TR,shift.m9TR,shift.m8TR,shift.m7TR,shift.m6TR,shift.m5TR,shift.m4TR,shift.m3TR,shift.m2TR,shift.m1TR,shift.0TR,shift.1TR,shift.2TR,shift.3TR
1001,19,0,0.018067917,-0.036852211,0.124798029,0.092766651,-0.112607688,-0.088540431,0.15551943,-0.174912059,-0.124355487,-0.189390909,-0.170091352,-0.174380123,0.003334771,0.159596264,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1001,19,0,nan,-0.063294662,-0.042469766,-0.242980648,0.040272281,0.142743497,-0.021253723,-0.045283144,-0.058881496,-0.030631549,-0.035066556,0.401925487,0.001198324,0.167729143,nan,nan,nan,nan,nan,0,0,0,0,1,0,0,0,1
1001,19,0,-0.035066556,0.401925487,0.001198324,0.167729143,0.040284028,0.232052624,0.143777292,0.009106304,-0.256978354,-0.113883703,-0.071038661,-0.008365032,0.186653519,0.029344123,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1001,19,0,0.094182773,0.092570042,0.029443247,-0.016858346,0.145868931,0.067833987,0.138658484,-0.069493929,0.121249476,-0.049262565,0.073818956,0.006958494,-0.151578256,-0.095745495,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1001,19,0,0.069193007,0.22967423,0.196546429,0.1729042,0.28354458,0.27266047,-0.033331589,-0.099678641,-0.321068796,0.037972188,-0.126763246,0.138884779,-0.018046603,-0.087475492,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1001,19,0,-0.14635894,-0.257049252,-0.046701749,0.03328367,0.27882903,-0.087999256,-0.092780787,-0.062679144,0.164704677,0.073336821,-0.050659864,0.31945301,-0.017653756,0.057556927,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1001,19,0,0.149887138,-0.032041177,-0.048638135,-0.254174632,-0.000773509,-0.018295961,-0.161775676,0.047836735,-0.16323771,-0.036169958,-0.279156636,-0.190681292,-0.214783741,-0.403465972,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1001,19,1,0.155643005,-0.018618034,-0.067177979,0.079445026,-0.030232958,-0.185371337,-0.135771521,0.072308727,0.029535839,0.092591703,0.002162714,-0.201426137,-0.058948265,-0.144687765,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1001,19,1,0.059194483,0.078582409,-0.047511286,-0.156066904,0.254559197,0.138885236,0.237700906,0.049235708,-0.16638911,0.111326503,-0.112895897,-0.048173052,-0.242580693,-0.03955266,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1001,19,1,-0.382788339,-0.065684842,-0.118599454,0.055039328,0.151738349,-0.038803805,-0.119141417,-0.103118525,-0.182973405,0.009855493,-0.157712271,0.055432581,-0.0597196,-0.084592131,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1001,19,1,0.07301339,0.174014598,0.28393752,0.30939416,0.113404544,0.087087724,-0.197045174,0.061223668,-0.193128951,-0.11282122,-0.195161158,-0.146566529,-0.15369406,nan,0,0,0,0,1,0,0,0,0,1,0,0,0,nan
1001,19,1,-0.272541413,-0.126144669,-0.151732295,-0.116829862,0.023576834,0.115347729,0.040039275,0.119828515,0.094360263,-0.255823599,-0.191650159,0.19444147,-0.179490982,-0.035933339,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1001,19,0,0.10734692,-0.029731292,-0.132496516,-0.104180486,-0.187248433,-0.014367321,0.018236707,0.147051765,-0.100187258,-0.185961252,-0.03067682,-0.149416021,0.019658057,0.008612704,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1001,19,1,-0.380187898,-0.014388436,-0.013733884,-0.155920841,-0.070541038,0.140855921,0.042881183,0.305225479,0.147692863,0.057730488,-0.037237611,0.096153818,0.264640772,0.148825147,1,0,0,0,0,0,0,1,0,0,0,0,0,0
